file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
2165152.exe ,  0.74,  0.26,  0.25,  0.00,  0.01,   26785032,   23802000,    2975000,   39351385, c++, elite, sing, 10
2165152.exe ,  0.77,  0.26,  0.24,  0.00,  0.02,   27296167,   25262000,    2020000,   40372217, c++, elite, sing, 10
2165152.exe ,  0.76,  0.26,  0.24,  0.00,  0.02,   27200304,   26185000,    1007000,   39568333, c++, elite, sing, 10
2165152.exe ,  0.75,  0.27,  0.26,  0.00,  0.01,   26775507,   24793000,    1983000,   39595327, c++, elite, sing, 10
2165152.exe ,  0.75,  0.26,  0.25,  0.00,  0.01,   26720547,   22758000,    3958000,   39602895, c++, elite, sing, 10
2165152.exe ,  0.75,  0.26,  0.25,  0.00,  0.01,   26767854,   25739000,    1029000,   39662146, c++, elite, sing, 10
2165152.exe ,  0.79,  0.25,  0.25,  0.00,  0.01,   27339035,   24399000,    2927000,   39890069, c++, elite, sing, 10
2165152.exe ,  0.76,  0.26,  0.24,  0.00,  0.02,   27430098,   23510000,    3918000,   39975416, c++, elite, sing, 10
2165152.exe ,  0.76,  0.26,  0.25,  0.00,  0.01,   26758307,   24765000,    1981000,   39889617, c++, elite, sing, 10
217838.exe  ,  0.75,  0.22,  0.21,  0.00,  0.02,   31037551,   27037000,    4005000,   45772315, c++, elite, sing, 10
217838.exe  ,  0.73,  0.26,  0.26,  0.00,  0.01,   26506317,   22576000,    3926000,   39035155, c++, elite, sing, 10
217838.exe  ,  0.73,  0.26,  0.26,  0.00,  0.02,   26575455,   25567000,    1022000,   39181785, c++, elite, sing, 10
217838.exe  ,  0.75,  0.27,  0.26,  0.00,  0.01,   26337016,   22273000,    4049000,   39091087, c++, elite, sing, 10
217838.exe  ,  0.73,  0.26,  0.26,  0.00,  0.01,   26472002,   24444000,    1955000,   39216030, c++, elite, sing, 10
217838.exe  ,  0.76,  0.26,  0.25,  0.00,  0.01,   26517400,   22384000,    4069000,   39560383, c++, elite, sing, 10
217838.exe  ,  0.73,  0.26,  0.26,  0.00,  0.01,   26482799,   24472000,    1957000,   39308745, c++, elite, sing, 10
217838.exe  ,  0.75,  0.25,  0.24,  0.00,  0.01,   27868178,   24035000,    3845000,   41313764, c++, elite, sing, 10
217838.exe  ,  0.75,  0.27,  0.25,  0.00,  0.01,   26426784,   22354000,    4064000,   38815907, c++, elite, sing, 10
217838.exe  ,  0.72,  0.25,  0.25,  0.00,  0.01,   26669062,   24654000,    1972000,   39290808, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11117892,    9095000,    2021000,   25004158, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11000628,    8935000,    1985000,   23609665, c++, elite, sing, 10
2255569.exe ,  0.34,  0.12,  0.11,  0.00,  0.01,   11413355,   10367000,    1036000,   24023615, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11111640,   10105000,    1010000,   23630887, c++, elite, sing, 10
2255569.exe ,  0.33,  0.11,  0.11,  0.00,  0.01,   11109660,   10033000,    1003000,   23632091, c++, elite, sing, 10
2255569.exe ,  0.35,  0.12,  0.11,  0.00,  0.01,   11221506,    9181000,    2040000,   23869501, c++, elite, sing, 10
2255569.exe ,  0.32,  0.11,  0.11,  0.00,  0.01,   11218523,    9341000,    1868000,   24029048, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11111694,    9086000,    2019000,   23728804, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11123096,    8090000,    3033000,   23913049, c++, elite, sing, 10
2255569.exe ,  0.31,  0.11,  0.11,  0.00,  0.01,   11195947,   10178000,    1017000,   23867688, c++, elite, sing, 10
2320041.exe ,  0.69,  0.24,  0.24,  0.00,  0.01,   25068245,   23068000,    2005000,   40717094, c++, elite, sing, 10
2320041.exe ,  0.70,  0.25,  0.24,  0.00,  0.01,   25396995,   24382000,    1015000,   38022654, c++, elite, sing, 10
2320041.exe ,  0.69,  0.24,  0.24,  0.00,  0.01,   25724005,   23742000,    1978000,   38398155, c++, elite, sing, 10
