file,psys,pkg,cores,gpu,ram,duration_time,user_time,system_time,perf_time,lang,machine,cores,power_limit
2059675.exe , 15.61,  1.81,  1.48,  0.00,  0.52,  919660442,  889443000,   30014000,  963543667, c++, elite, mult, 2
2059675.exe , 15.44,  1.79,  1.46,  0.00,  0.51,  907441604,  870288000,   37012000,  951225436, c++, elite, mult, 2
2059675.exe , 15.64,  1.82,  1.49,  0.00,  0.52,  920617948,  893490000,   27014000,  964545426, c++, elite, mult, 2
2059675.exe , 15.52,  1.79,  1.47,  0.00,  0.51,  911332293,  875188000,   36007000,  954635579, c++, elite, mult, 2
2059675.exe , 15.63,  1.81,  1.48,  0.00,  0.52,  918188053,  889032000,   29001000,  962839109, c++, elite, mult, 2
2059675.exe , 15.87,  1.84,  1.50,  0.00,  0.53,  932222096,  897154000,   34967000,  975981919, c++, elite, mult, 2
2126568.exe ,  4.33,  0.50,  0.41,  0.00,  0.14,  253385118,  230344000,   23034000,  295750399, c++, elite, mult, 2
2126568.exe ,  4.36,  0.51,  0.42,  0.00,  0.14,  256998400,  241976000,   14998000,  298211732, c++, elite, mult, 2
2126568.exe ,  4.38,  0.51,  0.42,  0.00,  0.15,  257753922,  237852000,   19903000,  300386040, c++, elite, mult, 2
2126568.exe ,  4.39,  0.51,  0.42,  0.00,  0.15,  256995745,  241007000,   16000000,  299184705, c++, elite, mult, 2
2126568.exe ,  4.41,  0.51,  0.42,  0.00,  0.15,  259118012,  242049000,   17074000,  301902194, c++, elite, mult, 2
2126568.exe ,  4.54,  0.52,  0.43,  0.00,  0.15,  265162528,  246148000,   19011000,  306917081, c++, elite, mult, 2
2126568.exe ,  4.39,  0.51,  0.42,  0.00,  0.15,  258081341,  239046000,   19003000,  300811115, c++, elite, mult, 2
2126568.exe ,  4.60,  0.54,  0.44,  0.00,  0.15,  272288954,  251256000,   21021000,  314946125, c++, elite, mult, 2
